Celsius,Fahrenheit
1169,2136.2
1280,2336.0
2380,4316.0
1508,2746.4
2015,3659.0
938,1720.4
2272,4121.6
1962,3563.6
1026,1878.8
1565,2849.0
2267,4112.6
463,865.4
1256,2292.8
2111,3831.8
1972,3581.6
1129,2064.2
905,1661.0
452,845.6
1651,3003.8
10,50.0
2261,4101.8
1754,3189.2
2438,4420.4
1357,2474.6
2118,3844.4
1898,3448.4
531,987.8
1307,2384.6
2334,4233.2
644,1191.2
2480,4496.0
2477,4490.6
1824,3315.2
2348,4258.4
1619,2946.2
546,1014.8
464,867.2
288,550.4
1396,2544.8
344,651.2
2006,3642.8
173,343.4
1149,2100.2
431,807.8
1866,3390.8
1807,3284.6
2461,4461.8
2408,4366.4
250,482.0
1885,3425.0
703,1297.4
1905,3461.0
1652,3005.6
1497,2726.6
1723,3133.4
446,834.8
2137,3878.6
1310,2390.0
2237,4058.6
2393,4339.4
2054,3729.2
370,698.0
1027,1880.6
2046,3714.8
887,1628.6
364,687.2
636,1176.8
2287,4148.6
924,1695.2
217,422.6
1815,3299.0
69,156.2
216,420.8
121,249.8
1366,2490.8
2195,3983.0
1792,3257.6
2279,4134.2
1137,2078.6
2254,4089.2
428,802.4
2266,4110.8
2329,4224.2
2317,4202.6
2190,3974.0
2489,4512.2
1436,2616.8
689,1272.2
273,523.4
574,1065.2
769,1416.2
2201,3993.8
707,1304.6
2448,4438.4
1028,1882.4
1707,3104.6
1550,2822.0
1508,2746.4
1418,2584.4
302,575.6
2302,4175.6
678,1252.4
1509,2748.2
1354,2469.2
1128,2062.4
681,1257.8
548,1018.4
1943,3529.4
1372,2501.6
1126,2058.8
419,786.2
183,361.4
2021,3669.8
874,1605.2
182,359.6
1382,2519.6
1744,3171.2
2289,4152.2
1201,2193.8
2259,4098.2
41,105.8
2311,4191.8
220,428.0
219,426.2
2204,3999.2
2336,4236.8
1952,3545.6
92,197.6
1891,3435.8
969,1776.2
1131,2067.8
2193,3979.4
530,986.0
1833,3331.4
1847,3356.6
964,1767.2
1831,3327.8
557,1034.6
663,1225.4
1336,2436.8
1791,3255.8
100,212.0
60,140.0
1930,3506.0
2453,4447.4
2316,4200.8
1495,2723.0
2263,4105.4
1345,2453.0
668,1234.4
2393,4339.4
137,278.6
2129,3864.2
2383,4321.4
721,1329.8
866,1590.8
1793,3259.4
481,897.8
2402,4355.6
2094,3801.2
384,723.2
970,1778.0
1096,2004.8
41,105.8
2374,4305.2
262,503.6
1741,3165.8
334,633.2
583,1081.4
873,1603.4
626,1158.8
1962,3563.6
1439,2622.2
1996,3624.8
920,1688.0
1570,2858.0
346,654.8
2427,4400.6
2331,4227.8
1598,2908.4
2474,4485.2
1005,1841.0
236,456.8
2231,4047.8
1931,3507.8
1989,3612.2
30,86.0
1208,2206.4
2214,4017.2
1214,2217.2
104,219.2
945,1733.0
1210,2210.0
2232,4049.6
2126,3858.8
1346,2454.8
1205,2201.0
642,1187.6
669,1236.2
2164,3927.2
769,1416.2
2179,3954.2
971,1779.8
1422,2591.6
698,1288.4
2000,3632.0
1075,1967.0
779,1434.2
1193,2179.4
2160,3920.0
1293,2359.4
2214,4017.2
1652,3005.6
855,1571.0
2202,3995.6
2015,3659.0
1199,2190.2
2142,3887.6
620,1148.0
39,102.2
190,374.0
1534,2793.2
571,1059.8
2119,3846.2
1280,2336.0
1451,2643.8
1181,2157.8
1954,3549.2
1372,2501.6
2495,4523.0
1799,3270.2
103,217.4
2017,3662.6
1899,3450.2
2097,3806.6
1072,1961.6
2328,4222.4
1319,2406.2
286,546.8
944,1731.2
1704,3099.2
1042,1907.6
1377,2510.6
2418,4384.4
1368,2494.4
1349,2460.2
1246,2274.8
280,536.0
2428,4402.4
1162,2123.6
1836,3336.8
2028,3682.4
61,141.8
2325,4217.0
470,878.0
958,1756.4
899,1650.2
2495,4523.0
1636,2976.8
1165,2129.0
1110,2030.0
1461,2661.8
1755,3191.0
1982,3599.6
371,699.8
2160,3920.0
709,1308.2
718,1324.4
1116,2040.8
138,280.4
1593,2899.4
5,41.0
5,41.0
1351,2463.8
1366,2490.8
1385,2525.0
1960,3560.0
1433,2611.4
1502,2735.6
1889,3432.2
73,163.4
6,42.8
1733,3151.4
655,1211.0
2083,3781.4
752,1385.6
626,1158.8
2204,3999.2
1004,1839.2
957,1754.6
1917,3482.6
2017,3662.6
1549,2820.2
2425,4397.0
960,1760.0
1983,3601.4
180,356.0
881,1617.8
72,161.6
1354,2469.2
1138,2080.4
432,809.6
1723,3133.4
1985,3605.0
798,1468.4
1480,2696.0
887,1628.6
1156,2112.8
2087,3788.6
901,1653.8
1366,2490.8
2200,3992.0
1066,1950.8
600,1112.0
1621,2949.8
2,35.6
2098,3808.4
1273,2323.4
503,937.4
1288,2350.4
697,1286.6
772,1421.6
2483,4501.4
1078,1972.4
2043,3709.4
1724,3135.2
1309,2388.2
2175,3947.0
522,971.6
1982,3599.6
288,550.4
466,870.8
165,329.0
2463,4465.4
1964,3567.2
1284,2343.2
1809,3288.2
469,876.2
2067,3752.6
1631,2967.8
1582,2879.6
500,932.0
1435,2615.0
673,1243.4
2166,3930.8
751,1383.8
825,1517.0
2279,4134.2
327,620.6
2059,3738.2
848,1558.4
1114,2037.2
2035,3695.0
311,591.8
1975,3587.0
589,1092.2
1257,2294.6
2400,4352.0
630,1166.0
900,1652.0
260,500.0
898,1648.4
2020,3668.0
722,1331.6
1159,2118.2
2002,3635.6
1282,2339.6
1292,2357.6
2431,4407.8
1349,2460.2
461,861.8
1932,3509.6
1031,1887.8
1315,2399.0
1560,2840.0
1353,2467.4
32,89.6
2357,4274.6
1054,1929.2
935,1715.0
1866,3390.8
1983,3601.4
138,280.4
854,1569.2
2394,4341.2
2022,3671.6
2066,3750.8
918,1684.4
506,942.8
2160,3920.0
1786,3246.8
837,1538.6
1548,2818.4
1813,3295.4
1159,2118.2
1279,2334.2
2344,4251.2
158,316.4
1774,3225.2
1833,3331.4
789,1452.2
1802,3275.6
2303,4177.4
1790,3254.0
76,168.8
1178,2152.4
1460,2660.0
223,433.4
1650,3002.0
296,564.8
931,1707.8
1944,3531.2
2430,4406.0
1217,2222.6
702,1295.6
1960,3560.0
105,221.0
2245,4073.0
1273,2323.4
2049,3720.2
1642,2987.6
2182,3959.6
565,1049.0
2486,4506.8
988,1810.4
222,431.6
224,435.2
100,212.0
1673,3043.4
1034,1893.2
411,771.8
1699,3090.2
983,1801.4
1693,3079.4
1852,3365.6
2374,4305.2
809,1488.2
391,735.8
1683,3061.4
1703,3097.4
1329,2424.2
1973,3583.4
895,1643.0
1447,2636.6
2373,4303.4
1034,1893.2
292,557.6
2103,3817.4
251,483.8
1857,3374.6
1112,2033.6
1974,3585.2
484,903.2
1662,3023.6
840,1544.0
1474,2685.2
402,755.6
1877,3410.6
2060,3740.0
2172,3941.6
1296,2364.8
963,1765.4
870,1598.0
1163,2125.4
240,464.0
2420,4388.0
521,969.8
644,1191.2
770,1418.0
880,1616.0
2471,4479.8
234,453.2
2162,3923.6
1951,3543.8
1101,2013.8
1578,2872.4
187,368.6
593,1099.4
529,984.2
1831,3327.8
1867,3392.6
1607,2924.6
2239,4062.2
1092,1997.6
271,519.8
1354,2469.2
1560,2840.0
451,843.8
1419,2586.2
2138,3880.4
612,1133.6
1316,2400.8
1921,3489.8
1959,3558.2
1483,2701.4
2171,3939.8
2150,3902.0
1405,2561.0
2428,4402.4
1882,3419.6
1261,2301.8
1559,2838.2
2398,4348.4
1873,3403.4
405,761.0
2121,3849.8
1168,2134.4
1222,2231.6
1522,2771.6
2164,3927.2
1092,1997.6
1308,2386.4
2213,4015.4
1876,3408.8
2447,4436.6
2129,3864.2
1103,2017.4
269,516.2
936,1716.8
1059,1938.2
1949,3540.2
487,908.6
570,1058.0
955,1751.0
449,840.2
323,613.4
1619,2946.2
1429,2604.2
2342,4247.6
1761,3201.8
605,1121.0
2363,4285.4
1299,2370.2
597,1106.6
166,330.8
1165,2129.0
1378,2512.4
1133,2071.4
493,919.4
129,264.2
76,168.8
934,1713.2
1735,3155.0
1891,3435.8
757,1394.6
1009,1848.2
1025,1877.0
1700,3092.0
1724,3135.2
360,680.0
668,1234.4
1331,2427.8
1586,2886.8
84,183.2
2359,4278.2
515,959.0
2036,3696.8
1966,3570.8
1775,3227.0
392,737.6
2016,3660.8
1001,1833.8
1569,2856.2
1471,2679.8
1218,2224.4
1951,3543.8
887,1628.6
2391,4335.8
1785,3245.0
1445,2633.0
935,1715.0
1890,3434.0
589,1092.2
363,685.4
1924,3495.2
2028,3682.4
1131,2067.8
1620,2948.0
1024,1875.2
1585,2885.0
817,1502.6
1589,2892.2
2084,3783.2
1924,3495.2
908,1666.4
1677,3050.6
299,570.2
1228,2242.4
803,1477.4
926,1698.8
59,138.2
1341,2445.8
834,1533.2
2169,3936.2
2,35.6
618,1144.4
596,1104.8
1309,2388.2
1184,2163.2
1137,2078.6
1499,2730.2
1750,3182.0
926,1698.8
644,1191.2
184,363.2
823,1513.4
1295,2363.0
67,152.6
2311,4191.8
2283,4141.4
1327,2420.6
2319,4206.2
2114,3837.2
94,201.2
622,1151.6
831,1527.8
1673,3043.4
909,1668.2
46,114.8
1740,3164.0
582,1079.6
578,1072.4
2484,4503.2
2163,3925.4
1855,3371.0
